
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab27        0.276    0.724
ab30        0.309    0.691
ab34        0.341    0.659
ab37        0.374    0.626
ab40        0.407    0.593
ab43        0.439    0.561
ab47        0.472    0.528
ab50        0.505    0.495
ab53        0.537    0.463
ab56        0.570    0.430
ab60        0.603    0.397
ab63        0.635    0.365
ab66        0.668    0.332
ab70        0.701    0.299
ab73        0.733    0.267
ab76        0.766    0.234
ab79        0.799    0.201
ab80        0.803    0.197

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo87        0.876    0.124
fo90        0.909    0.091
fo94        0.942    0.058
fo97.5      0.975    0.025
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp65        0.655    0.345
sp68        0.688    0.312
sp72        0.721    0.279
sp75        0.754    0.246
sp78        0.785    0.215

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op87__0     0.000    0.879    0.121
Op91__0     0.000    0.912    0.088
Op93__0     0.000    0.936    0.064
Op87__3     0.033    0.846    0.117
Op91__3     0.033    0.879    0.085
Op93__3     0.033    0.903    0.062
Op87__6     0.066    0.813    0.113
Op91__6     0.066    0.846    0.082
Op93__6     0.066    0.869    0.060
Op87__9     0.100    0.779    0.109
Op91__9     0.100    0.813    0.079
Op93__9     0.100    0.836    0.058
Op87_13     0.133    0.746    0.105
Op91_13     0.133    0.779    0.076
Op93_13     0.133    0.803    0.056
Op87_14     0.146    0.733    0.103
Op91_14     0.146    0.766    0.075
Op93_14     0.146    0.790    0.055

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_023_6    0.002    0.233    0.067    0.698
Cp_023_7    0.002    0.233    0.079    0.685
Cp_026_0    0.002    0.267    0.000    0.731
Cp_026_3    0.002    0.267    0.033    0.698
Cp_026_6    0.002    0.267    0.067    0.664
Cp_026_7    0.002    0.267    0.079    0.651
Cp_030_0    0.002    0.300    0.000    0.698
Cp_030_3    0.002    0.300    0.033    0.664
Cp_030_6    0.002    0.300    0.067    0.631
Cp_030_7    0.002    0.300    0.079    0.618
Cp_033_0    0.002    0.333    0.000    0.664
Cp_033_3    0.002    0.333    0.033    0.631
Cp_033_6    0.002    0.333    0.067    0.598
Cp_033_7    0.002    0.333    0.079    0.585
Cp_036_0    0.002    0.367    0.000    0.631
Cp_036_3    0.002    0.367    0.033    0.598
Cp_036_6    0.002    0.367    0.067    0.564
Cp_036_7    0.002    0.367    0.079    0.551
Cp_040_0    0.002    0.400    0.000    0.598
Cp_040_3    0.002    0.400    0.033    0.564
Cp_040_6    0.002    0.400    0.067    0.531
Cp_040_7    0.002    0.400    0.079    0.518
Cp_043_0    0.002    0.433    0.000    0.564
Cp_043_3    0.002    0.433    0.033    0.531
Cp_043_6    0.002    0.433    0.067    0.498
Cp_043_7    0.002    0.433    0.079    0.485
Cp_046_0    0.002    0.467    0.000    0.531
Cp_046_3    0.002    0.467    0.033    0.498
Cp_046_6    0.002    0.467    0.067    0.464
Cp_046_7    0.002    0.467    0.079    0.451
Cp_049_0    0.002    0.500    0.000    0.498
Cp_049_3    0.002    0.500    0.033    0.464
Cp_049_6    0.002    0.500    0.067    0.431
Cp_049_7    0.002    0.500    0.079    0.418
Cp_053_0    0.002    0.533    0.000    0.464
Cp_053_3    0.002    0.533    0.033    0.431
Cp_053_6    0.002    0.533    0.067    0.398
Cp_053_7    0.002    0.533    0.079    0.385
Cp_056_0    0.002    0.567    0.000    0.431
Cp_056_3    0.002    0.567    0.033    0.398
Cp_056_6    0.002    0.567    0.067    0.364
Cp_056_7    0.002    0.567    0.079    0.351
